#{"t_start": 1776233236.5888731, "env_id": "None"}
r,l,t
4.876802,12,81.889459
5.216013,12,82.034752
5.573559,12,82.159469
5.612595,12,82.278285
4.122058,12,82.392528
5.930643,12,82.501444
4.493032,12,82.654596
4.715806,12,82.817676
5.093497,12,82.967287
6.544046,12,83.118247
4.698008,12,83.284117
5.281806,12,83.416962
5.740843,12,83.557787
5.268175,12,83.689301
5.556758,12,83.830489
4.530466,12,83.961259
5.492031,12,84.103261
5.737009,12,84.252751
5.922058,12,84.406626
5.137332,12,84.580264
5.393947,12,84.751018
5.058189,12,84.909455
5.384624,12,85.063537
5.827263,12,85.210038
4.051268,12,85.376444
4.907302,12,85.527747
5.113112,12,85.674842
5.524399,12,85.805953
4.768104,12,85.939826
4.334298,12,86.082481
5.556229,12,86.233299
6.104568,12,86.381119
5.262514,12,86.510602
5.374006,12,86.640603
6.574101,12,86.767461
5.106696,12,86.884578
5.182024,12,87.002069
5.772116,12,87.125949
6.225925,12,88.464999
6.175648,12,88.591038
4.94803,12,88.715289
5.71714,12,88.835568
6.23059,12,88.949779
4.99142,12,89.066913
5.613432,12,89.189515
5.596106,12,89.322619
5.417318,12,89.449988
6.577837,12,89.571932
5.786895,12,89.692142
5.935228,12,89.810794
6.455179,12,89.938817
3.966232,12,90.059433
4.723203,12,90.176495
5.297446,12,90.299024
4.198843,12,90.437618
6.117697,12,90.555755
5.543843,12,90.669066
6.068814,12,90.785354
5.162977,12,90.926173
3.99419,12,91.050712
5.590805,12,91.187453
5.893665,12,91.326908
6.064192,12,91.468305
5.567594,12,91.605755
5.729489,12,91.722748
5.640676,12,91.847131
5.996866,12,91.961288
5.111582,12,92.086924
6.09537,12,92.239446
5.415265,12,92.385661
6.007752,12,92.521574
6.099339,12,92.656188
5.815827,12,92.795496
3.700207,12,92.927933
5.289308,12,93.079508
5.657499,12,93.233084
4.632225,12,93.365567
5.994941,12,93.480342
4.731991,12,93.593202
5.323975,12,93.743484
5.240146,12,93.891342
5.216159,12,95.230964
5.350471,12,95.375145
5.074943,12,95.489525
4.960905,12,95.611187
5.290453,12,95.729481
4.241959,12,95.861803
4.463162,12,95.990931
4.89719,12,96.113544
6.071896,12,96.237279
5.38122,12,96.357315
5.565556,12,96.471531
6.124706,12,96.578239
5.746655,12,96.693835
5.934677,12,96.81958
5.44464,12,96.930257
6.36547,12,97.049118
5.946921,12,97.168613
5.339812,12,97.319135
5.367223,12,97.448209
5.449757,12,97.570435
5.951031,12,97.702594
5.357721,12,97.820275
5.615676,12,97.934814
5.401992,12,98.054395
5.514712,12,98.182105
4.283079,12,98.303119
5.672523,12,98.419021
5.527084,12,98.527731
5.676853,12,98.653505
5.688415,12,98.785079
4.474671,12,98.90141
5.250289,12,99.017118
5.372751,12,99.136252
6.390318,12,99.291487
6.310283,12,99.40518
5.381055,12,99.51449
5.182842,12,99.632726
6.523829,12,99.741435
5.770269,12,99.835242
6.159384,12,99.946547
5.108369,12,100.07222
5.123713,12,100.190108
5.816956,12,101.469156
5.961234,12,101.582369
6.319044,12,101.70204
5.904559,12,101.816111
5.12937,12,101.939922
4.39925,12,102.080762
5.822562,12,102.21167
5.733471,12,102.352339
5.177343,12,102.481173
5.343171,12,102.604539
5.444257,12,102.717737
5.94286,12,102.829361
5.599716,12,102.947412
6.165424,12,103.056585
5.731213,12,103.176898
5.464639,12,103.288544
5.028547,12,103.412775
5.554756,12,103.547302
5.432792,12,103.70183
5.225018,12,103.836943
5.480821,12,103.962008
5.812633,12,104.095945
5.1627,12,104.222084
5.4446,12,104.353601
5.399142,12,104.483831
6.329344,12,104.630535
4.459762,12,104.766495
5.84932,12,104.893173
5.974661,12,105.020573
6.191243,12,105.148927
6.54447,12,105.290204
4.888976,12,105.42197
5.930046,12,105.544998
6.224505,12,105.675797
6.427469,12,105.804096
5.324747,12,105.950014
5.037741,12,106.073711
5.418381,12,106.195702
5.199452,12,106.318856
4.631144,12,106.45052
5.296802,12,106.606487
4.638973,12,106.726346
4.820108,12,106.838082
6.418343,12,108.200722
5.52567,12,108.335496
5.714328,12,108.45582
6.219755,12,108.586482
4.804941,12,108.706646
4.066114,12,108.836727
3.952169,12,108.978178
5.571767,12,109.0917
5.21844,12,109.205141
6.400788,12,109.332446
4.028248,12,109.466072
5.401866,12,109.601481
6.349997,12,109.720156
5.07125,12,109.838237
5.319865,12,109.970038
4.816261,12,110.095085
5.25817,12,110.234831
5.392045,12,110.380645
5.627091,12,110.514873
5.520006,12,110.656259
4.340501,12,110.795191
6.438928,12,110.940392
5.464402,12,111.070233
6.023581,12,111.220146
4.71522,12,111.345798
4.870716,12,111.471258
4.781488,12,111.61606
5.504683,12,111.742291
4.767177,12,111.889427
6.488148,12,112.029969
5.569222,12,112.157935
4.491842,12,112.296692
5.678827,12,112.427546
6.713591,12,112.556819
4.801388,12,112.681158
5.281037,12,112.799143
5.393568,12,112.920606
4.739522,12,113.034161
5.313311,12,113.154839
5.699329,12,113.279578
6.052053,12,113.392108
